"Date","Price","Open","High","Low","Change %"
"Nov 26, 2017","458.18","452.66","517.00","385.50","-1.30"
"Nov 19, 2017","464.21","346.88","483.00","343.65","33.82"
"Nov 12, 2017","346.90","313.00","350.16","293.72","10.74"
"Nov 05, 2017","313.26","299.33","328.78","286.80","4.62"
"Oct 29, 2017","299.42","293.61","312.00","275.77","1.98"
"Oct 22, 2017","293.61","299.23","311.20","274.07","-1.80"
"Oct 15, 2017","299.00","339.10","353.01","288.01","-11.86"
"Oct 08, 2017","339.24","311.46","349.88","287.07","8.92"
"Oct 01, 2017","311.46","303.21","315.00","286.29","2.64"
"Sep 24, 2017","303.44","286.02","312.49","275.61","6.04"
"Sep 17, 2017","286.16","252.74","299.60","239.18","13.11"
"Sep 10, 2017","253.00","303.20","316.20","201.26","-16.44"
"Sep 03, 2017","302.79","345.00","368.07","268.03","-12.23"
"Aug 27, 2017","345.00","332.72","394.78","325.11","3.68"
"Aug 20, 2017","332.76","292.80","346.94","287.01","13.73"
"Aug 13, 2017","292.60","307.19","311.80","272.29","-4.75"
"Aug 06, 2017","307.20","253.87","319.01","251.00","21.01"
"Jul 30, 2017","253.87","206.77","258.93","188.99","22.68"
"Jul 23, 2017","206.94","232.01","236.22","176.97","-11.08"
"Jul 16, 2017","232.73","170.21","257.99","136.58","36.76"
"Jul 09, 2017","170.17","245.23","249.00","169.82","-30.61"
"Jul 02, 2017","245.23","255.00","285.91","227.76","-3.76"
"Jun 25, 2017","254.80","296.89","318.26","204.45","-14.18"
"Jun 18, 2017","296.89","364.56","377.46","287.43","-18.56"
"Jun 11, 2017","364.56","325.88","412.00","265.00","11.87"
"Jun 04, 2017","325.88","217.01","341.89","216.10","50.17"
"May 28, 2017","217.01","149.99","229.86","149.66","44.68"
"May 21, 2017","149.99","123.03","206.06","110.42","21.91"
"May 14, 2017","123.03","89.97","129.24","83.77","36.85"
"May 07, 2017","89.90","96.84","98.00","77.78","-6.98"
"Apr 30, 2017","96.65","73.55","101.70","72.63","31.40"
"Apr 23, 2017","73.55","52.15","77.40","51.75","41.03"
"Apr 16, 2017","52.15","49.60","53.00","46.00","4.92"
"Apr 09, 2017","49.71","44.86","51.51","43.01","11.68"
"Apr 02, 2017","44.51","50.59","51.51","41.25","-12.04"
"Mar 26, 2017","50.60","50.75","54.18","46.88","-0.30"
"Mar 19, 2017","50.75","34.20","58.00","34.10","50.80"
"","","","","",""
"","Highest:517.00","Lowest:34.10","Difference:482.90","Average:240.46","Change %:1,261.44"
